Item ID,Product Name,Full Name,Brand,Category,Price (SGD),Original Price (SGD),Discount,Sold,Rating,URL
1190584221,POZZI KRIS-8220BB Kitchen Sink Cold Tap(BLACK),POZZI KRIS-8220BB Kitchen Sink Cold Tap(BLACK)/Kitchen Faucets/Home Appliances/Cleaning/Washing Tap/Kitchen Tap,Pozzi,Kitchen Taps,199.9,239.0,16%,,,https://www.lazada.sg/products/pdp-i1190584221.html
513930127,POZZI HAN-320 Kitchen Sink Tap,POZZI HAN-320 Kitchen Sink Tap/Kitchen Faucets/Home Appliances/Cleaning/Washing Tap/Kitchen Tap,Pozzi,Kitchen Taps,150.0,,,,,https://www.lazada.sg/products/pdp-i513930127.html
1190912513,POZZI GINA-320BB Kitchen Sink Tap(BLACK),POZZI GINA-320BB Kitchen Sink Tap(BLACK)/Kitchen Faucets/Home Appliances/Cleaning/Washing Tap/Kitchen Tap,Pozzi,Kitchen Taps,145.9,169.0,14%,,,https://www.lazada.sg/products/pdp-i1190912513.html
1190652403,POZZI KRIS-8620BB Kitchen Sink Tap(BLACK),POZZI KRIS-8620BB Kitchen Sink Tap(BLACK)/Kitchen Faucets/Home Appliances/Cleaning/Washing Tap/Kitchen Tap,Pozzi,Kitchen Taps,109.9,129.0,15%,,,https://www.lazada.sg/products/pdp-i1190652403.html
3248474478,INGCO FBLI2001 20V Li-Ion 2.0AH Battery,INGCO FBLI2001 20V Li-Ion 2.0AH Battery,INGCO,Other,40.06,,,,,https://www.lazada.sg/products/pdp-i3248474478.html
3105052803,Makita CL001G Brushless DC Cleaner 40V,Makita CL001G Brushless DC Cleaner 40V,Makita,Other,844.1,,,,,https://www.lazada.sg/products/pdp-i3105052803.html
3105115729,Makita DCF102 DC Fan 18V 180mm,Makita DCF102 DC Fan 18V 180mm,Makita,Other,156.96,,,,,https://www.lazada.sg/products/pdp-i3105115729.html
3598581456,Skechers Women’s Slip-Resistant Safety Shoes 77235 Relaxed Fit Nampa – Wyola SR,Skechers Women’s Slip-Resistant Safety Shoes 77235 Relaxed Fit Nampa – Wyola SR,Other,Other,119.0,,,,,https://www.lazada.sg/products/pdp-i3598581456.html
3185846759,Pozzi FL921LR Elegant Brushed Rose Gold Bathroom Faucet - Water-Saving Ceramic Mixer Tap,Pozzi FL921LR Elegant Brushed Rose Gold Bathroom Faucet - Water-Saving Ceramic Mixer Tap,Pozzi,Other,249.0,289.0,14%,,,https://www.lazada.sg/products/pdp-i3185846759.html
3072040023,WORX WU056 Brushless 20V Paint Sprayer,WORX WU056 Brushless 20V Paint Sprayer,WORX,Other,421.69,,,,,https://www.lazada.sg/products/pdp-i3072040023.html
3071783756,WORX WA4230 Stacking Box 15.8L,WORX WA4230 Stacking Box 15.8L,WORX,Other,119.03,,,,,https://www.lazada.sg/products/pdp-i3071783756.html
3071288287,WORX WA1602 Fast-Adsorption Dust Collector Box,WORX WA1602 Fast-Adsorption Dust Collector Box,WORX,Other,90.46,,,,,https://www.lazada.sg/products/pdp-i3071288287.html
3206243517,EF BO GE 1771MWM 60CM MULTIFUNCTION MICROWAVE COMBI OVEN,EF BO GE 1771MWM 60CM MULTIFUNCTION MICROWAVE COMBI OVEN,EF,Ovens,1449.0,1899.0,24%,,,https://www.lazada.sg/products/pdp-i3206243517.html
472862744,EF BO AE 63 A 60CM Conventional Oven,EF BO AE 63 A 60CM Conventional Oven/EF/Kitchen Appliance/Oven/Conventional Oven,EF,Ovens,699.0,,,,,https://www.lazada.sg/products/pdp-i472862744.html
3122151857,INGCO CABLI204282 Brushless Leaf Blower 20V,INGCO CABLI204282 Brushless Leaf Blower 20V,INGCO,Power Tools,197.67,,,,,https://www.lazada.sg/products/pdp-i3122151857.html
3263150912,INGCO CABLI200181 Cordless Blower 20V,INGCO CABLI200181 Cordless Blower 20V,INGCO,Power Tools,107.19,,,,,https://www.lazada.sg/products/pdp-i3263150912.html
3234745081,INGCO CGTLI20018 20V Grass Trimmer W,INGCO CGTLI20018 20V Grass Trimmer W/Rotatable Cutting Head[Bare unit],INGCO,Power Tools,78.97,,,,,https://www.lazada.sg/products/pdp-i3234745081.html
3105060898,Makita DUB362 Brushless DC Blower 18Vx2,Makita DUB362 Brushless DC Blower 18Vx2,Makita,Power Tools,831.89,,,,,https://www.lazada.sg/products/pdp-i3105060898.html
3105218417,Makita MR002G DC Jobsite Radio 40V,Makita MR002G DC Jobsite Radio 40V,Makita,Power Tools,376.7,,,,,https://www.lazada.sg/products/pdp-i3105218417.html
3404281062,[NEW]Makita DHW180 DC Pressure Washer 5-in-1,[NEW]Makita DHW180 DC Pressure Washer 5-in-1,Makita,Power Tools,308.0,,,,,https://www.lazada.sg/products/pdp-i3404281062.html
3104958689,Makita DUR181 DC Grass Trimmer 18V,Makita DUR181 DC Grass Trimmer 18V,Makita,Power Tools,276.5,,,,,https://www.lazada.sg/products/pdp-i3104958689.html
3071858630,WORX WU633.3 20V High Pressure Washer,WORX WU633.3 20V High Pressure Washer,WORX,Power Tools,498.77,,,,,https://www.lazada.sg/products/pdp-i3071858630.html
3071381009,WORX WD254 20V Hedge Trimmer,WORX WD254 20V Hedge Trimmer,WORX,Power Tools,303.8,,,,,https://www.lazada.sg/products/pdp-i3071381009.html
3071394532,WORX WD163.9 Cordless Grass Trimmer,WORX WD163.9 Cordless Grass Trimmer,WORX,Power Tools,158.7,,,,,https://www.lazada.sg/products/pdp-i3071394532.html
3566189010,WORX WU623.9 20V Cordless High-Pressure Washer (Bare Unit),WORX WU623.9 20V Cordless High-Pressure Washer (Bare Unit),WORX,Power Tools,100.0,,,,,https://www.lazada.sg/products/pdp-i3566189010.html
398096836,AZ-9900 90CM SEMI INTEGRATED HOOD,AZ-9900 90CM SEMI INTEGRATED HOOD/Aerogaz/Slim Line/Wall Mounted/Kitchen Appliance/High Suction Capacity,Aerogaz,Range Hoods,299.0,,,,,https://www.lazada.sg/products/pdp-i398096836.html
3104439692,AEROGAZ az-6500,AEROGAZ az-6500/az-9500 Telescopic Out Hood (Black)/KITCHEN/UNIDBOX/HOOD/SUCTION,Aerogaz,Range Hoods,279.0,329.0,15%,,,https://www.lazada.sg/products/pdp-i3104439692.html
471804314,EF CK MIA 90 90CM Wall Mounted Chimney Hood,EF CK MIA 90 90CM Wall Mounted Chimney Hood/EF/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,799.0,,,,,https://www.lazada.sg/products/pdp-i471804314.html
471774277,EF CK VETRO PLUS 90CM Wall Mounted Chimney Hood,EF CK VETRO PLUS 90CM Wall Mounted Chimney Hood/EF/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,749.0,,,,,https://www.lazada.sg/products/pdp-i471774277.html
471884415,EF CK FINO SS 90CM Wall Mounted Chimney Hood,EF CK FINO SS 90CM Wall Mounted Chimney Hood/EF/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,599.0,,,,,https://www.lazada.sg/products/pdp-i471884415.html
472340923,EF EFCH 9234T BK 90CM Semi Integrated Hood,EF EFCH 9234T BK 90CM Semi Integrated Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,539.0,,,,,https://www.lazada.sg/products/pdp-i472340923.html
471814841,EF CK PREMIO 60S 60CM Wall Mounted Chimney Hood,EF CK PREMIO 60S 60CM Wall Mounted Chimney Hood/EF/Chimney/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,459.0,,,,,https://www.lazada.sg/products/pdp-i471814841.html
472180793,EF EFCH 9111 HM SS 90CM Slimline Hood,EF EFCH 9111 HM SS 90CM Slimline Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,429.0,,,,,https://www.lazada.sg/products/pdp-i472180793.html
1255838238,EF EFCH 9236T BK 90CM Semi Integrated Hood,EF EFCH 9236T BK 90CM Semi Integrated Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,409.0,459.0,11%,,,https://www.lazada.sg/products/pdp-i1255838238.html
1256010004,EF EFCH 9231T SS 90CM Semi Integrated Hood,EF EFCH 9231T SS 90CM Semi Integrated Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,409.0,459.0,11%,,,https://www.lazada.sg/products/pdp-i1256010004.html
472274549,EF EFCH 9201T SS 90CM Semi Integrated Hood,EF EFCH 9201T SS 90CM Semi Integrated Hood/EF/Slimline/Wall Mounted/Kitchen Appliance/High Suction Capacity,EF,Range Hoods,359.0,,,,,https://www.lazada.sg/products/pdp-i472274549.html
